question,votes,tags
Disable the interactive dismissal of presented view controller,172,"ios, uiviewcontroller, uikit, modalviewcontroller, ios13"
How do I implement an Objective-C singleton that is compatible with ARC?,172,"objective-c, ios, singleton, automatic-ref-counting"
warning: 'characters' is deprecated: Please use String or Substring directly,172,"ios, string, substring, swift4, xcode9.1"
How do I detect that an iOS app is running on a jailbroken phone?,172,"ios, iphone, jailbreak"
Launch an app from within another (iPhone),172,"ios, iphone, deep-linking, openurl"
Silent pushes not delivered to the app on iOS 11,172,"ios, push-notification, ios11"
"Achieving bright, vivid colors for an iOS 7 translucent UINavigationBar",172,"ios, objective-c, uikit, uinavigationbar, ios7"
UITextView that expands to text using auto layout,171,"ios, uitextview, autolayout, nslayoutconstraint"
How can I convert my device token (NSData) into an NSString?,171,"ios, objective-c, apple-push-notifications, nsstring, nsdata"
How to change the background color of UIStackView?,171,"ios, swift, uistackview"
Xcode 9 GM - WKWebView NSCoding support was broken in previous versions,171,"ios, xcode, wkwebview, nscoding"
iphone Core Data Unresolved error while saving,170,"iphone, objective-c, ios, core-data"
Certificate has either expired or has been revoked,170,"ios, iphone, xcode"
When to use dequeueReusableCellWithIdentifier vs dequeueReusableCellWithIdentifier : forIndexPath,170,"ios, objective-c, swift"
What is the best way to deal with the NSDateFormatter locale “feechur”?,170,"ios, objective-c, iphone, locale, nsdateformatter"
How to embed small icon in UILabel,169,"ios, objective-c, cocoa-touch, ios7, textkit"
Label under image in UIButton,169,"ios, image, text, uibutton, label"
How to create an empty array in Swift?,169,"ios, arrays, swift"
Swift 3 URLSession.shared() Ambiguous reference to member 'dataTask(with:completionHandler:) error (bug),169,"ios, json, swift3"
"Xcode 5.1 - No architectures to compile for (ONLY_ACTIVE_ARCH=YES, active arch=x86_64, VALID_ARCHS=i386)",169,"ios, xcode, xcode5.1"
MongoDB vs Firebase [closed],169,"ios, mongodb, firebase, firebase-realtime-database, mongodb-query"
iPad Safari scrolling causes HTML elements to disappear and reappear with a delay,169,"css, ios, ipad, html, mobile-safari"
Error Appstore connect : Missing Purpose String in Info.plist File,169,"ios, app-store, expo, appstore-approval, info.plist"
Adding iOS UITableView HeaderView (not section header),168,"iphone, ios, uitableview"
"Swift 2: Call can throw, but it is not marked with 'try' and the error is not handled",168,"ios, xcode, swift"
NSCameraUsageDescription in iOS 10.0 runtime crash?,167,"ios, camera, plist, barcode, ios-permissions"
AutoLayout with hidden UIViews?,167,"ios, objective-c, autolayout"
How to load local html file into UIWebView,167,"ios, objective-c, iphone, cocoa-touch, uiwebview"
"UITableView, Separator color where to set?",167,"ios, objective-c, uitableview, cocoa-touch"
What is the default height of UITableViewCell?,167,"ios, iphone, uitableview"
Is it possible to Turn page programmatically in UIPageViewController?,167,"ios, ios5, uikit, uipageviewcontroller"
What's the UIScrollView contentInset property for?,167,"ios, objective-c, uiscrollview"
NSInvalidUnarchiveOperationException: Could not instantiate class named NSLayoutConstraint,166,"objective-c, ios, autolayout"
How can I delay a method call for 1 second?,166,"ios, objective-c, iphone, cocoa-touch, uikit"
Convert Swift string to array,166,"ios, arrays, swift, string"
Swift 3.0 Result of call is unused [duplicate],166,"ios, swift, swift3"
ERROR: Error installing cocoapods: ERROR: Failed to build gem native extension,166,"ios, osx-mavericks, cocoapods"
Could not instantiate class named MKMapView,166,"ios, ipad, mkmapview"
UIViewController viewDidLoad vs. viewWillAppear: What is the proper division of labor?,166,"ios, uiviewcontroller, viewdidload, viewwillappear"
"“changing property masksToBounds in transform-only layer, will have no effect” in Xcode 7",166,"ios, ios9, xcode7-beta6"
Swift - Integer conversion to Hours/Minutes/Seconds,165,"ios, swift"
Add bottom line to view in SwiftUI / Swift / Objective-C / Xamarin,165,"ios, objective-c, swift, xamarin, swiftui"
“Could not find any information for class named ViewController”,165,"ios, xcode, iboutlet"
Programmatically scroll a UIScrollView,165,"ios, objective-c, uiscrollview, scroll"
Set a default font for whole iOS app?,165,"ios, fonts"
Switching to a TabBar tab view programmatically?,165,"iphone, objective-c, ios, uitabbarcontroller"
How can I check if an app is installed from a web-page on an iPhone,165,"iphone, ios, web-applications, mobile-safari"
How can I concatenate NSAttributedStrings?,165,"ios, nsattributedstring"
Using HTML and Local Images Within UIWebView,165,"html, ios, iphone, uiwebview, uikit"
How to enable file sharing for my app?,165,"ios, file-sharing"
Dashed line border around UIView,164,"ios, objective-c, iphone, uiview"
Obscure a UITextField password,164,"ios, swift, iphone, security, ipad"
Swift startsWith method?,164,"ios, swift"
"How do I adjust the anchor point of a CALayer, when Auto Layout is being used?",164,"ios, calayer, autolayout"
How to create .ipa file using Xcode?,164,"ios, iphone, xcode, production, ips"
Async image loading from url inside a UITableView cell - image changes to wrong image while scrolling,164,"ios, objective-c, cocoa-touch, uitableview"
Custom navigation with Navigator component in React-Native,164,"javascript, ios, navigation, reactjs, react-native"
ios app maximum memory budget,163,"iphone, ios, memory, memory-management"
Fade/dissolve when changing UIImageView's image,163,"ios, objective-c, swift, cocoa-touch, uiimageview"
Adjusting the Xcode iPhone simulator scale and size [duplicate],163,"ios, xcode, ios-simulator, scale, simulator"
How to detect first time app launch on an iPhone,163,"ios, iphone, launch, launching-application"
UI Testing Failure - Neither element nor any descendant has keyboard focus on secureTextField,163,"ios, xcode, swift, ios9, xcode-ui-testing"
How to disable/enable the sleep mode programmatically in iOS?,163,ios
How can I find my Apple Developer Team id and Team Agent Apple ID?,163,ios
Proper practice for subclassing UIView?,163,"ios, objective-c, cocoa-touch, uiview"
How to save local data in a Swift app?,163,"ios, swift, nsuserdefaults"
UITapGestureRecognizer - single tap and double tap,162,"ios, iphone, uigesturerecognizer, uitapgesturerecognizer"
RealmSwift: Convert Results to Swift Array,162,"ios, swift, realm"
"Xcode playground gets stuck on 'Running playground' or 'Launching simulator' and won't run the code, what to do?",162,"ios, xcode, xcode8"
How to find NSDocumentDirectory in Swift?,162,"ios, swift, nsdocumentdirectory"
Static table view outside UITableViewController,162,"ios, iphone, xcode, cocoa-touch"
A complete solution to LOCALLY validate an in-app receipts and bundle receipts on iOS 7,162,"ios, iphone, in-app-purchase, storekit"
Distribution certificate / private key not installed,161,"ios, xcode, certificate, keychain"
How to detect orientation change?,161,"ios, swift, orientation-changes"
Centering a view in its superview using Visual Format Language,161,"ios, layout, autolayout, visual-format-language"
Navigation bar show/hide,161,"iphone, ios, uinavigationcontroller, uinavigationbar"
How to hide the “back” button in UINavigationController?,161,"ios, iphone, uinavigationcontroller"
What is the difference between a .xib file and a .storyboard?,161,"iphone, ios, ios5, xib, xcode-storyboard"
iOS app error - Can't add self as subview,161,"ios, iphone, objective-c"
UIButton: how to center an image and a text using imageEdgeInsets and titleEdgeInsets?,160,"ios, objective-c, uibutton"
Can I change multiplier property for NSLayoutConstraint?,160,"ios, iphone, objective-c, nslayoutconstraint"
Simplest way to throw an error/exception with a custom message in Swift?,160,"ios, swift"
react-native: command not found,160,"android, ios, react-native"
@IBDesignable error: IB Designables: Failed to update auto layout status: Interface Builder Cocoa Touch Tool crashed,160,"ios, swift, xcode, storyboard, interface-builder"
Xcode 4.2 - declaration of '…' will not be visible outside of this function warning,160,"iphone, ios, xcode4, ios5"
No suitable records were found verify your bundle identifier is correct,160,"ios, xcode6, app-store-connect"
"UICollectionView, full width cells, allow autolayout dynamic height?",160,"ios, uicollectionview, autolayout"
How can I convert NSDictionary to NSData and vice versa?,159,"iphone, objective-c, ios, nsdictionary"
Create UIImage with solid color in Swift,159,"ios, swift, uiimage"
Add swipe to delete UITableViewCell,159,"ios, uitableview, swift"
Programmatically open Maps app in iOS 6,159,"ios, objective-c, ios6, mapkit"
How to use NSJSONSerialization,159,"ios, objective-c, json, nsdictionary"
How can I deploy an iPhone application from Xcode to a real iPhone device?,159,"ios, xcode, deployment, certificate"
Hide the cursor of an UITextField,158,"ios, cocoa-touch, uitextfield, uipickerview"
How to determine if an NSDate is today?,158,"ios, objective-c, cocoa-touch, nsdate, nscalendar"
How do I get the current version of my iOS project in code?,158,"ios, objective-c, iphone, swift"
iOS difference between isKindOfClass and isMemberOfClass,158,"ios, objective-c, swift, class, inheritance"
What is an “unwrapped value” in Swift?,158,"ios, swift, ios8"
AndroidRuntime: FATAL EXCEPTION: androidmapsapi-ZoomTableManager,158,"android, ios, google-maps-android-api-2, google-maps-sdk-ios, google-maps-android-api-3"
Creating a UIImage from a UIColor to use as a background image for UIButton [duplicate],158,"ios, objective-c, uibutton, uiimage"
Find an object in array?,157,"ios, swift"
Xcode/Simulator: How to run older iOS version?,157,"ios, objective-c, iphone, xcode, ipad"
UILabel sizeToFit doesn't work with autolayout ios6,157,"ios, ios6, uilabel, autolayout"
set initial viewcontroller in appdelegate - swift,157,ios
CABasicAnimation resets to initial value after animation completes,157,"ios, iphone, calayer, cabasicanimation"
Move a view up only when the keyboard covers an input field,157,"ios, swift, keyboard, xcode6"
How to take a screenshot programmatically on iOS,157,"ios, iphone, screenshot"
Xcode 9 - “Fixed Width Constraints May Cause Clipping” and Other Localization Warnings,157,"ios, localization, interface-builder, xcode9-beta"
Fatal error: use of unimplemented initializer 'init(coder:)' for class,157,"ios, macos, uiviewcontroller, swift"
Module compiled with Swift 5.1 cannot be imported by the Swift 5.1.2 compiler,157,"ios, swift, xcode, swift5.1"
Error: _handleNonLaunchSpecificActions in iOS9,157,"ios, objective-c, xcode, ios9"
How to add leading padding to view added inside an UIStackView,156,"ios, swift, uiscrollview, uistackview"
Getting time elapsed in Objective-C,156,"ios, objective-c"
How to add a border just on the top side of a UIView,156,"ios, objective-c, xcode, uiview, border"
reloadData() of UITableView with Dynamic cell heights causes jumpy scrolling,156,"ios, uitableview, swift, autolayout"
How to see if an NSString starts with a certain other string?,156,"ios, objective-c, iphone, nsstring, nsmutablestring"
Convert UIImage to NSData and convert back to UIImage in Swift?,156,"ios, swift, uiimage, png, nsdata"
'Module was not compiled for testing' when using @testable,156,"ios, swift, unit-testing, swift5.4"
Outlets cannot be connected to repeating content iOS,156,"ios, storyboard"
Swift: Sort array of objects alphabetically,155,"ios, arrays, swift, sorting"
How to fix “no valid 'aps-environment' entitlement string found for application” in Xcode 4.3?,155,"ios, notifications, push-notification, apple-push-notifications"
How do I deserialize a JSON string into an NSDictionary? (For iOS 5+),155,"ios, json, ios5, nsstring, nsdictionary"
"What's the point of NSAssert, actually?",155,"ios, iphone, cocoa-touch, uikit, nsassert"
Install .ipa to iPad with or without iTunes,155,"ios, iphone, ipad, installation, ipa"
Class does not implement its superclass's required members,155,"ios, swift, sprite-kit"
Where's the difference between setObject:forKey: and setValue:forKey: in NSMutableDictionary?,155,"ios, iphone, nsmutabledictionary"
What's the best way to develop a sideswipe menu like the one in Facebook's new iOS app?,155,"objective-c, ios, cocoa-touch"
Number of days between two NSDates [duplicate],154,"ios, objective-c, cocoa-touch, nsdate"
How to make a UILabel clickable?,154,"ios, swift, uilabel, uitapgesturerecognizer"
iPhone get SSID without private library,154,"ios, iphone, xcode, ssid"
Detect permission of camera in iOS,154,"ios, permissions, camera, uiimagepickercontroller, ios-permissions"
How to Correctly handle Weak Self in Swift Blocks with Arguments,154,"ios, swift, retain-cycle"
Error “library not found for” after putting application in AdMob,153,"ios, xcode, admob, cocoapods"
How to set the full width of separator in UITableView,153,"ios, objective-c, iphone, uitableview"
Change string color with NSAttributedString?,153,"ios, cocoa-touch, nsattributedstring"
How to hide the keyboard when I press return key in a UITextField?,153,"ios, objective-c, cocoa-touch, delegates"
UILabel - Wordwrap text,153,"ios, iphone, cocoa-touch, uilabel, word-wrap"
iPhone: Detecting user inactivity/idle time since last screen touch,153,"ios, objective-c, iphone, idle-timer"
Command failed due to signal: Segmentation fault: 11,153,"ios, swift, segmentation-fault"
Why would you use an ivar?,153,"objective-c, ios, memory-management, key-value-observing, ivar"
Camera access through browser,153,"ios, html, camera"
Enabling auto layout in iOS 6 while remaining backwards compatible with iOS 5,153,"ios, ios5, backwards-compatibility, ios6, autolayout"
How to force view controller orientation in iOS 8?,152,"ios, objective-c, ios8, uinavigationcontroller, autorotate"
Xcode 7.2 no matching provisioning profiles found,152,"ios, xcode, provisioning-profile"
Objective-C - Remove last character from string,152,"ios, objective-c, string, cocoa, cocoa-touch"
how to open an URL in Swift3,152,"ios, swift, swift3"
How to disable the highlight control state of a UIButton?,152,"ios, cocoa-touch, uibutton, uikit, uicontrol"
How to detect when a UIScrollView has finished scrolling,152,"ios, iphone, uiscrollview"
Change Default Scrolling Behavior of UITableView Section Header,152,"ios, iphone, uitableview, cocoa-touch"
Safe Area of Xcode 9,152,"ios, swift, ios11, xcode9, safearealayoutguide"
Xcode: Could not locate device support files,152,"ios, xcode, ios7, xcode8, iphone-4"
What is the iBeacon Bluetooth Profile,152,"ios, bluetooth, bluetooth-lowenergy, reverse-engineering, ibeacon"
LibStatusBar icon disappears on 3rd-party app launch,152,"ios, ios7, jailbreak, cydia, libstatusbar"
Difference between UIViewContentModeScaleAspectFit and UIViewContentModeScaleToFill?,151,"ios, uiimageview, contentmode, uiviewcontentmode"
"Building for iOS Simulator, but the linked framework '****.framework' was built for iOS",151,"ios, xcode"
Event handling for iOS - how hitTest:withEvent: and pointInside:withEvent: are related?,151,"ios, uiview, uikit"
Xcode Storyboard warning: Constraint referencing items turned off in current configuration. Turn off this constraint in the current configuration,151,"ios, xcode, cocoa-touch, storyboard, xcode6"
Disabled UIButton not faded or grey,151,"ios, iphone, cocoa-touch, uibutton"
Make a VStack fill the width of the screen in SwiftUI,151,"ios, swift, xcode, swiftui"
How to remove an iOS app from the App Store,151,"ios, iphone, app-store"
Easiest way to detect Internet connection on iOS?,151,"ios, nsurlconnection, reachability, internet-connection"
How do I wrap text in a UITableViewCell without a custom cell,151,"ios, objective-c, cocoa-touch, uikit, iphone-sdk-2"
UIView bottom border?,150,"ios, uiview, border"
Delaying function in swift [duplicate],150,"ios, swift, function, delay"
Display clearColor UIViewController over UIViewController,150,"iphone, objective-c, ios, uiviewcontroller, storyboard"
How do I create a round cornered UILabel on the iPhone?,150,"ios, objective-c, cocoa-touch, uilabel, rounded-corners"
"Unable to simultaneously satisfy constraints, will attempt to recover by breaking constraint",150,"ios, objective-c, debugging, nslayoutconstraint"
The best way to remove duplicate values from NSMutableArray in Objective-C?,150,"ios, objective-c, nsmutablearray"
Types in Objective-C on iOS,150,"ios, objective-c"
How do you turn off auto-capitalisation in HTML form fields in iOS?,150,"ios, html"
What is the AppDelegate for and how do I know when to use it?,150,"ios, objective-c, cocoa-touch"
How do you get an iPhone's device name,149,"ios, uikit"
Libraries not found when using CocoaPods with iOS logic tests,149,"ios, unit-testing, cocoapods"
UINavigationController “back button” custom text?,149,"ios, iphone, uinavigationcontroller"
Can I set the cookies to be used by a WKWebView?,149,"ios, cookies, uiwebview, ios8, wkwebview"
"Given a view, how do I get its viewController?",149,"ios, iphone, debugging, uiview, uiviewcontroller"
UIPanGestureRecognizer - Only vertical or horizontal,149,"ios, uigesturerecognizer"
Why does UITableViewCell remain highlighted?,149,"ios, uitableview, cocoa-touch"
IOS: verify if a point is inside a rect,149,"ios, uiview, collision-detection, cgrect, cgpoint"
Importing Project-Swift.h into a Objective-C class…file not found,149,"ios, objective-c, xcode, swift, xcode6"
How to detect total available/free disk space on the iPhone/iPad device?,149,"iphone, ios, ipad, nsfilemanager, diskspace"
How to use Namespaces in Swift?,149,"ios, macos, swift"
Custom UITableViewCell from nib in Swift,149,"ios, uitableview, swift, ios8"
How to initialize/instantiate a custom UIView class with a XIB file in Swift,148,"ios, swift"
Get Slightly Lighter and Darker Color from UIColor,148,"objective-c, ios, core-graphics, gradient, uicolor"
Command CompileSwift failed with a nonzero exit code in Xcode 10 [duplicate],148,"ios, swift, xcode, swift4, xcode10"
What does the property “Nonatomic” mean?,148,"ios, objective-c, iphone, cocoa, properties"
How to detect the end of loading of UITableView,148,"ios, iphone, uitableview"
How do I record audio on iPhone with AVAudioRecorder?,148,"ios, objective-c, iphone, audio, recording"
"New file created in Xcode 9.3, <wsname>.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist should it be committed?",148,"ios, xcode, git"
Customize UITableView header section,147,"ios, objective-c, swift, uitableview"
iOS 9 “fbauth2” missing from Info.plist,147,"ios, objective-c"
How to convert NSDate into unix timestamp iphone sdk?,147,"ios, iphone, nsdate, unix-timestamp"
How to create an Empty Application in Xcode without Storyboard,147,"ios, xcode, storyboard, xcode6"
How to draw border around a UILabel?,147,"ios, iphone, cocoa-touch, uikit, uilabel"
How to play a local video with Swift?,147,"ios, objective-c, swift, avplayer, avplayerviewcontroller"
Swift: Testing optionals for nil,147,"ios, swift, optional"
UILabel - auto-size label to fit text?,147,"ios, iphone, objective-c, uilabel"
UITextView style is being reset after setting text property,146,"ios, cocoa-touch, fonts, uitextview"
UIRefreshControl on UICollectionView only works if the collection fills the height of the container,146,"ios, uicollectionview, uirefreshcontrol"
Why is UICollectionViewCell's outlet nil?,146,"ios, swift, interface-builder, ios8, uicollectionviewcell"
Adding the little arrow to the right side of a cell in an iPhone TableView Cell,146,"iphone, objective-c, ios, cocoa-touch, uitableview"
Load view from an external xib file in storyboard,146,"ios, uiview, storyboard, xib"
Replacement for deprecated -sizeWithFont:constrainedToSize:lineBreakMode: in iOS 7?,146,"ios, iphone, ios7, nsstring, sizewithfont"
How can I programmatically get the MAC address of an iphone,146,"ios, objective-c, iphone, mac-address"
How to resize superview to fit all subviews with autolayout?,146,"ios, uitableview, autolayout"
What is a provisioning profile used for when developing iPhone applications?,146,"ios, iphone, xcode, code-signing, provisioning-profile"
"Xcode 12.3: Building for iOS Simulator, but the linked and embedded framework was built for iOS + iOS Simulator [duplicate]",146,"ios, xcode12, lipo"
How to Get the Title of a HTML Page Displayed in UIWebView?,146,"ios, objective-c, iphone, uiwebview, foundation"
How do I set bold and italic on UILabel of iPhone/iPad?,145,"ios, objective-c, swift, uilabel, uifont"
How to make UIButton's text alignment center? Using IB,145,"ios, objective-c, uibutton, interface-builder"
How to calculate UILabel width based on text length?,145,"ios, objective-c, swift, uikit, uilabel"
"How to format DateTime in Flutter , How to get current time in flutter?",145,"android, ios, flutter, datetime, dart"
How to center horizontally UICollectionView Cells?,145,"ios, swift"
Xcode keeps building storyboard after each keystroke,145,"ios, xcode, build, storyboard"
Why NSUserDefaults failed to save NSMutableDictionary in iOS?,145,"ios, objective-c, cocoa-touch, nsuserdefaults, nscoding"
iPhone - Grand Central Dispatch main thread,145,"ios, concurrency, grand-central-dispatch, dispatch-async"
How to remove border of the navigationBar in swift?,144,"ios, iphone, swift, uinavigationbar"
Programmatically get height of navigation bar,144,"ios, objective-c, swift, uinavigationcontroller, uinavigationbar"
Parsing HTML into NSAttributedText - how to set font?,144,"html, ios, nsattributedstring"
Getting list of files in documents folder,144,"ios, swift"
Center content of UIScrollView when smaller,144,"ios, objective-c, cocoa-touch, uiscrollview, uiimageview"
Looping a video with AVFoundation AVPlayer?,144,"ios, objective-c, swift, avfoundation, avplayer"
How do I vertically center UITextField Text?,144,"ios, uitextfield, alignment"
UIViewContentModeScaleAspectFill not clipping,144,"ios, uiimageview"
What is the maximum length of a Push Notification alert text?,144,"iphone, ios, push-notification"
When should we use “embedded binaries” rather than “Linked Frameworks” in Xcode?,144,"ios, xcode, frameworks, embedded-binary"
Swift Compiler Error: “Expression too complex” on a string concatenation,144,"ios, xcode, swift, compiler-errors, functional-programming"
Changing Font Size For UITableView Section Headers,143,"ios, objective-c, swift, uitableview, uitableviewsectionheader"
How to scroll to the bottom of a UITableView on the iPhone before the view appears,143,"ios, objective-c, cocoa-touch, uitableview"
Get button click inside UITableViewCell,143,"ios, objective-c, uitableview, uibutton"
How to open mail app from Swift,143,"ios, swift"
Change the font of a UIBarButtonItem,143,"ios, cocoa-touch, uibarbuttonitem"
"Xcode 10, Command CodeSign failed with a nonzero exit code",143,"ios, xcode, xcode10"
How do you hide the warnings in React Native iOS simulator?,143,"ios, react-native, show-hide"
How to encode a URL in Swift [duplicate],143,"ios, swift, urlencode"
UIBarButtonItem in navigation bar programmatically?,143,"ios, swift, uibarbuttonitem, navigationbar"
Basic example for sharing text or image with UIActivityViewController in Swift,143,"ios, swift, uiactivityviewcontroller"
What is the way to quick-switch between tabs in Xcode 4,143,"ios, xcode, xcode4, tabs, keyboard-shortcuts"
Swift - Cast Int into enum:Int,143,"ios, xcode, swift"
Warning frame for “Navigation bar” will be different at run time appears in Xcode 8 Swift 3,143,"ios, swift, xcode, uinavigationbar, xcode8"
Best practice using NSLocalizedString,143,"objective-c, ios, localization, nslocalizedstring"
Xcode 6 - How to pick signing certificate/provisioning profile for Ad-Hoc distribution?,143,"ios, ios8, xcode6"
to drawRect or not to drawRect (when should one use drawRect/Core Graphics vs subviews/images and why?),143,"iphone, ios, core-graphics"
Reducing the space between sections of the UITableView,142,"iphone, ios, uitableview"
How to pass data using NotificationCenter in swift 3.0 and NSNotificationCenter in swift 2.0?,142,"ios, swift, swift3, nsnotificationcenter, nsnotifications"
Archives not showing up in Organizer for Xcode 4,142,"xcode, ios, xcode4"
iPhone UIView Animation Best Practice,142,"iphone, ios, cocoa-touch, uiview, core-animation"
Why Xcode 7 shows *.tbd instead of *.dylib?,142,"ios, xcode, dylib, xcode7"
Usage of protocols as array types and function parameters in swift,142,"ios, swift, generics, swift-protocols"
Hide keyboard when scroll UITableView,141,"ios, uitableview, keyboard, scroll"
Animate text change in UILabel,141,"ios, objective-c, ipad, uilabel, caanimation"
Xcode 4.2 debug doesn't symbolicate stack call,141,"ios, xcode, debug-symbols"
Resize UIImage by keeping Aspect ratio and width,141,"iphone, objective-c, ios, aspect-ratio, fixed-width"
UITableViewHeaderFooterView: Unable to change background color,141,"iphone, ios, xcode, uitableview"
iOS Detection of Screenshot?,141,"ios, screenshot"
Cocoapods staying on “analyzing dependencies”,141,"ios, cocoapods"
iOS: Convert UTC NSDate to local Timezone,141,"ios, objective-c, swift, timezone, nsdate"
Disabling implicit animations in -[CALayer setNeedsDisplayInRect:],141,"iphone, ios, core-animation, calayer"
How to resize the iPhone/iPad Simulator?,141,"ios, xcode, ios-simulator, xcode9, simulator"
Missing Marketing Icon,141,"ios, xcode"
"Animate change of view controllers without using navigation controller stack, subviews or modal controllers?",141,"iphone, ios, ipad, uiviewcontroller, uianimation"
"Image resolution for new iPhone 6 and 6+, @3x support added?",141,"ios, resolution, iphone-6, iphone-6-plus"
Cocoapods: Failed to connect to GitHub to update the CocoaPods/Specs specs repo,140,"ios, xcode, cocoapods, cocoapods-1.0.1"
How do I convert NSInteger to NSString datatype?,140,"ios, iphone, nsstring, nsinteger"
iOS 9 not opening Instagram app with URL SCHEME,140,"ios, ios9"
"What is App store screenshot size for 6.5"" display?",140,"ios, iphone, app-store, app-store-connect, screenshot"
Make a phone call programmatically,140,"ios, objective-c, iphone, telephony, phone-call"
Why is WKWebView not opening links with target=“_blank”?,140,"ios, wkwebview"
How to resize Image with SwiftUI?,140,"ios, swift, swiftui"
How to check if a view controller is presented modally or pushed on a navigation stack?,140,"ios, objective-c, swift, uiviewcontroller, uinavigationcontroller"
How to fix Xcode 6.1 error while building IPA,140,"ios, xcode, build, code-signing, ipa"
"UIWebView background is set to Clear Color, but it is not transparent",140,"iphone, objective-c, ios, cocoa-touch, uiwebview"
How to check if a file exists in the Documents directory in Swift?,140,"ios, xcode, swift"
Objective-C and Swift URL encoding,140,"ios, objective-c, swift, nsstring, urlencode"
"Rotation methods deprecated, equivalent of 'didRotateFromInterfaceOrientation'?",140,"ios, iphone, objective-c, ios8"
How to create NS_OPTIONS-style bitmask enumerations in Swift?,140,"ios, bitwise-operators, swift"
How do I write a custom init for a UIView subclass in Swift?,140,"ios, swift, cocoa-touch, uiview, instantiation"
Array extension to remove object by value,140,"ios, arrays, swift"
Strange AQDefaultDevice logging,140,"ios, xcode"
SwiftUI text-alignment,139,"ios, swift, swiftui"
UIButton Image + Text IOS,139,"ios, iphone, ipad, uibutton"
How can I use UserDefaults in Swift?,139,"ios, swift, nsuserdefaults, userdefaults"
autolayout - make height of view relative to half superview height,139,"ios, xcode, autolayout"
iOS multiline label in Interface builder,139,"ios, objective-c, swift, uilabel, line-breaks"
Xcode 6 Storyboard the wrong size?,139,"ios, iphone, interface-builder, xcode6"
Make a UIButton programmatically in Swift,139,"ios, uibutton, swift"
iOS: UIButton resize according to text length,139,"ios, uibutton"
How do I get the RootViewController from a pushed controller?,139,"ios, iphone, uinavigationcontroller"
Using a custom image for a UITableViewCell's accessoryView and having it respond to UITableViewDelegate,139,"ios, cocoa-touch, uitableview, uikit"
Xcode suddenly stopped running project on hardware: “Could not launch xxx.app: .. No such file..” [closed],139,"ios, xcode"
How to tell at runtime whether an iOS app is running through a TestFlight Beta install,139,"ios, testflight"
What does the -ObjC linker flag do?,139,"iphone, objective-c, ios, compiler-construction"
How to set the title text color of UIButton?,138,"ios, swift, uibutton"
Use different GoogleService-Info.plist for different build schemes,138,"ios, google-cloud-messaging, google-signin"
"Browse the files created on a device by the iOS application I'm developing, on workstation?",138,"xcode, ios"
Unable to find specific subclass of NSManagedObject,138,"ios, core-data, swift, nsmanagedobject"
Adding Core Data to existing iPhone project,138,"ios, core-data"
Use Xcode 7 with iOS 10,138,"ios, xcode"
Xcode 8 Console Garbage? [duplicate],138,"ios, xcode, xcode8"
iPhone Data Usage Tracking/Monitoring,138,"iphone, ios, sockets"
You are not authorised to use this service iTunes app upload error [closed],138,"ios, iphone, xcode, xcode6, app-store-connect"
Detecting when the 'back' button is pressed on a navbar,137,"iphone, objective-c, ios, xcode"
Handling an empty UITableView. Print a friendly message,137,"iphone, ios, uitableview, uiview"
Get input value from TextField in iOS alert in Swift,137,"ios, xcode, swift, input, uialertcontroller"
How to change button text in Swift Xcode 6?,137,"ios, swift"
Can I load a UIImage from a URL?,137,"ios, iphone, uiimage, uiimagepickercontroller"
Debugging App When Launched by Push Notification,137,"ios, iphone, push-notification"
Xcode 6 iPhone Simulator Application Support location,137,"ios, xcode, core-data, ios8, xcode6"
UITextField border color,137,"ios, colors, uikit, uitextfield, border"
NSURLSession/NSURLConnection HTTP load failed on iOS 9,137,"ios, afnetworking, nsurlsession, ios9, tls1.2"
How to create fixed space and flexible space bar button items programmatically?,137,"ios, iphone, xcode, uibarbuttonitem"
Displaying a message in iOS which has the same functionality as Toast in Android,137,"android, ios"
How to delete an app from iTunesConnect / App Store Connect,137,"ios, app-store-connect"
Swift performSelector:withObject:afterDelay: is unavailable [duplicate],137,"ios, objective-c, swift, xcode6"
iPhone SDK: what is the difference between loadView and viewDidLoad?,137,"ios, objective-c, iphone, uiview"
position: fixed doesn't work on iPad and iPhone,137,"iphone, css, ipad, ios, mobile"
transparent navigation bar ios,136,"ios, iphone, swift, uinavigationbar"
How do I Disable the swipe gesture of UIPageViewController?,136,"ios, uiviewcontroller, uigesturerecognizer, uipageviewcontroller"
in iPhone App How to detect the screen resolution of the device,136,"ios, objective-c, cocoa-touch"
What is the difference between -viewWillAppear: and -viewDidAppear:?,136,"iphone, ios"
What's a reliable way to make an iOS app crash?,136,"iphone, objective-c, ios"
Detect backspace in empty UITextField,136,"ios, iphone, uitextfield, backspace"
How do I set up a simple delegate to communicate between two view controllers?,136,"ios, objective-c, iphone, delegates"
"How to have stored properties in Swift, the same way I had on Objective-C?",136,"ios, swift, associated-object"
Getting a list of files in a directory with a glob,136,"ios, objective-c, iphone, cocoa, cocoa-touch"
UICollectionView inside a UITableViewCell — dynamic height?,136,"ios, uitableview, uicollectionview"
Detecting sheet was dismissed on iOS 13,136,"ios, swift, uiviewcontroller, uikit, ios13"
viewWillDisappear: Determine whether view controller is being popped or is showing a sub-view controller,135,"ios, iphone, cocoa-touch, uiviewcontroller, uikit"
How Do I Take a Screen Shot of a UIView?,135,"ios, objective-c, uiview, screenshot"
